#harm           : 8   
fox             : 8   
angri           : 8   
#network        : 8   
large-scal      : 8   
#phone          : 8   
cost-effect     : 8   
#volunt         : 8   
#email          : 7   
jon             : 7   
solar-pow       : 7   
#opinion        : 7   
cooler          : 7   
#internet       : 7   
#bill           : 7   
afraid          : 7   
carbon-reduc    : 7   
#local          : 7   
#england        : 7   
#movement       : 7   
stephen         : 7   
climate-chang   : 6   
#newspap        : 6   
cbs             : 6   
eastern         : 6   
#countri        : 6   
#success        : 6   
environmentally-friend: 6   
strip           : 6   
stewart         : 6   
climate-friend  : 6   
#york           : 6   
#drill          : 6   
#taxpay         : 5   
#drive          : 5   
#view           : 5   
energy-sav      : 5   
#listen         : 5   
low-incom       : 5   
#meet           : 5   
#nation         : 5   
#modern         : 5   
disgust         : 5   
#rebat          : 5   
spoken          : 5   
unplug          : 4   
#npr            : 4   
#friend         : 4   
#conflict       : 4   
npr             : 4   
#interest       : 4   
#bike           : 4   
rachel          : 4   
nbc             : 4   
#mind           : 4   
#renewable_energi: 4   
#journal        : 4   
countdown       : 4   
#inform         : 4   
#produc         : 3   
cabl            : 3   
#electron       : 3   
colder          : 3   
#tea            : 3   
energy-effici   : 3   
shower          : 3   
#contain        : 3   
colbert         : 3   
#summer         : 3   
disagr          : 3   
#cost           : 3   
#purchas        : 3   
protector       : 3   
gas-pow         : 3   
#post           : 3   
#expert         : 3   
#problem        : 3   
gasolin         : 3   
#tv             : 3   
certainti       : 3   
beverag         : 2   
#event          : 2   
#independ       : 2   
#carpool        : 2   
plant-pow       : 2   
#guilti         : 2   
environment-friend: 2   
low-cost        : 2   
#comment        : 2   
carpool         : 2   
#behavior       : 2   
air-condit      : 2   
#prioriti       : 2   
teeth           : 2   
#reward         : 2   
#comput         : 2   
cost-effici     : 2   
#help           : 2   
energy-conserv  : 2   
brush           : 2   
climate-sav     : 2   
#low            : 2   
rush            : 2   
rebat           : 2   
climate-warm    : 2   
#teach          : 2   
#press          : 2   
#offshor        : 2   
#wash           : 2   
#vehicl         : 2   
#sad            : 2   
helpless        : 2   
#abc            : 2   
high-carbon     : 2   
#advic          : 2   
intergovernment : 1   
natural-new     : 1   
#state          : 1   
water-pollut    : 1   
compact         : 1   
#discuss        : 1   
currently-act   : 1   
#condit         : 1   
#agre           : 1   
family-friend   : 1   
nature-friend   : 1   
#snowstorm      : 1   
#bulb           : 1   
#person         : 1   
#regist         : 1   
low-emiss       : 1   
climate-environ : 1   
#today          : 1   
#depress        : 1   
greenhouse-ga   : 1   
error           : 1   
#differ         : 1   
#onlin          : 1   
#high           : 1   
#unplug         : 1   
#controversi    : 1   
glenn           : 1   
light-bulb      : 1   
#nature_world   : 1   
conservative-mind: 1   
conservative-support: 1   
publicly-fund   : 1   
single-issu     : 1   
#offici         : 1   
#save_wat       : 1   
clean-energi    : 1   
#show           : 1   
#sunday         : 1   
warm-wat        : 1   
carbon-gener    : 1   
#beverag        : 1   
#volunteer      : 1   
tvs             : 1   
#televis        : 1   
#record         : 1   
environment-harm: 1   
dish            : 1   
record-warm     : 1   
#current        : 1   
#gener          : 1   
#expand         : 1   
people-pow      : 1   
climate-polici  : 1   
high-pollut     : 1   
news-follow     : 1   
#afford         : 1   
small-medium    : 1   
environmentally-respons: 1   
community-gener : 1   
#daili          : 1   
punish          : 1   
unclear         : 1   
#treati         : 1   
#gasolin        : 1   
#individu       : 1   
post-modern     : 1   
distrust        : 1   
high-effici     : 1   
#question       : 1   
#climateg       : 1   
wind-energi     : 1   
#effect         : 1   
energy-environ  : 1   
#establish      : 1   
surcharg        : 1
