run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,oter,sadness,0.327200,39,0.000000,0.000000,0.000000,,,,,,,,,,,,,,-0.033934
1,cc,oter,sadness,0.473329,39,,,,0.290269,0.000000,0.000000,0.604548,,,,,,,,,,-0.029825
2,cc,oter,sadness,0.470186,39,,,,0.290269,,,0.604548,0.000000,0.000000,,,,,,,,-0.029825
3,cc,oter,sadness,0.499428,39,,,,0.290269,,,0.604548,,,0.056039,0.000000,,,,,,-0.029825
4,cc,oter,sadness,0.499428,39,,,,0.290269,,,0.604548,,,0.056039,,0.000000,,,,,-0.029825
5,cc,oter,sadness,0.499428,39,,,,0.290269,,,0.604548,,,0.056039,,,0.000000,,,,-0.029825
6,cc,oter,sadness,0.575084,39,,,,0.290269,,,0.604548,,,0.056039,,,,-0.034413,,,-0.029825
