run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,gw,oter,anger,0.514303,39,0.000000,0.200860,0.000000,0.187456,0.000000,,,,,,,,,,,,-0.007725
1,gw,oter,anger,0.624834,39,,0.200860,,0.187456,,0.078894,0.000000,0.000000,,,,,,,,,-0.007725
2,gw,oter,anger,0.635609,39,,0.200860,,0.187456,,0.078894,,,0.000000,0.106406,,,,,,,-0.007725
3,gw,oter,anger,0.635609,39,,0.200860,,0.187456,,0.078894,,,,0.106406,0.000000,,,,,,-0.007725
4,gw,oter,anger,0.668070,39,,0.195541,,0.201700,,0.076880,,,,0.104784,,0.000000,0.144437,,,,-0.011128
5,gw,oter,anger,0.720272,39,,0.195541,,0.201700,,0.076880,,,,0.104784,,,0.144437,0.000000,,,-0.011128
6,gw,oter,anger,0.723330,39,,0.195541,,0.201700,,0.076880,,,,0.104784,,,0.144437,,0.000000,,-0.011128
7,gw,oter,anger,0.724149,39,,0.195541,,0.201700,,0.076880,,,,0.104784,,,0.144437,,,0.027040,-0.011128
