run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,tter,fear,0.299584,39,-0.778958,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126753,0.000000,0.000000,0.083358,0.000000,0.000000,0.000000,0.213649
1,cc,tter,fear,0.586102,39,-0.778958,,,,,,,,,0.126753,,,0.083358,,,,0.213649
2,cc,tter,fear,0.529340,39,-0.639804,,,,,,,,,0.156710,,,,,,,0.203451
