run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,cc,tter,anger,0.386921,39,0.000000,0.000000,0.577205,0.000000,0.690517,0.000000,0.000000,0.000000,0.185743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020496
1,cc,tter,anger,0.545485,39,,,0.577205,,0.690517,,,,0.185743,,,,,,,,-0.020496
