run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
0,gw,rter,pos,-0.059304,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.160354,0.000000,0.000000,-0.675616,0.000000,0.428875,0.357673,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166875
1,gw,rter,pos,0.387767,39,,,,,,,,,,,,0.160354,,,-0.675616,,0.428875,0.357673,,,,,,,0.166875
