run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
0,gw,oter,joy,0.305550,39,-0.283962,0.000000,0.000000,0.287086,0.114271,0.000000,-0.146466,0.149957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132854,0.000000,0.000000,0.051849,-0.031772,0.000000,0.038504
1,gw,oter,joy,0.568509,39,-0.283962,,,0.287086,0.114271,,-0.146466,0.149957,,,,,,,,,,,0.132854,,,0.051849,-0.031772,,0.038504
