run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
0,gw,rter,neg,0.209330,39,1.926935,0.000000,-2.120292,0.000000,0.302774,0.000000,-0.902767,0.000000,0.710661,0.778672,0.304971,0.000000,0.000000,0.000000,1.150983,-0.667114,0.000000,0.173295,0.000000,-0.264468,0.000000,0.000000,0.152268,-0.077033,0.026056
1,gw,rter,neg,0.609332,39,1.926935,,-2.120292,,0.302774,,-0.902767,,0.710661,0.778672,0.304971,,,,1.150983,-0.667114,,0.173295,,-0.264468,,,0.152268,-0.077033,0.026056
