run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
0,gw,rter,joy,0.132702,39,-0.686781,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.432231,0.478332,0.000000,0.062372,0.000000,0.173791,0.000000,0.221381,0.000000,0.102380,1.236453,-0.139235,-0.298460,0.000000,0.000000,0.000000,-0.091065
1,gw,rter,joy,0.630677,39,-0.686781,,,,,,,,0.432231,0.478332,,0.062372,,0.173791,,0.221381,,0.102380,1.236453,-0.139235,-0.298460,,,,-0.091065
