run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_oter_neg,big_oter_pos,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rter_neg,big_rter_pos,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_rted_neg,big_rted_pos,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,big_tmed_neg,big_tmed_pos,intercept
0,gw,tter,joy,0.028258,39,-0.403446,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.229872,0.356531,0.000000,0.044665,0.000000,0.000000,0.000000,0.263520,0.000000,0.000000,0.672115,-0.160883,0.000000,0.000000,0.000000,0.000000,0.001541
1,gw,tter,joy,0.690840,39,-0.403446,,,,,,,,0.229872,0.356531,,0.044665,,,,0.263520,,,0.672115,-0.160883,,,,,0.001541
