run,tracker,reg_comm,reg_emo,Correlation,samples,big_oter_anger,big_oter_fear,big_oter_sadness,big_oter_joy,big_rter_anger,big_rter_fear,big_rter_sadness,big_rter_joy,big_rted_anger,big_rted_fear,big_rted_sadness,big_rted_joy,big_tmed_anger,big_tmed_fear,big_tmed_sadness,big_tmed_joy,intercept
0,gw,rter,anger,0.268270,39,0.733761,0.000000,-0.644589,0.000000,0.000000,-0.183768,0.368250,0.315862,0.186573,0.000000,0.000000,-0.076785,0.197915,-0.144861,0.112595,0.000000,0.030397
1,gw,rter,anger,0.289548,39,0.733761,,-0.644589,,,-0.183768,0.368250,0.315862,0.186573,,,-0.076785,0.197915,-0.144861,0.112595,,0.030397
2,gw,rter,anger,0.241244,39,0.722585,,-0.620117,,,-0.176118,0.310815,0.237087,0.194410,,,,0.000000,-0.125361,0.215417,,0.039172
3,gw,rter,anger,0.266563,39,0.722585,,-0.620117,,,-0.176118,0.310815,0.237087,0.194410,,,,,-0.125361,0.215417,,0.039172
4,gw,rter,anger,-0.124897,39,0.643258,,-0.434716,,,,0.000000,0.188155,,,,,,,0.000000,,0.062626
5,gw,rter,anger,-0.170594,39,0.357360,,0.000000,,,,,,,,,,,,,,0.072578
6,gw,rter,anger,-0.000842,39,0.357360,,,,,,,,,,,,,,,,0.072578
